Keebler Famous Amos Cookies Chocolate Chip	92.01218904
Keebler Gripz Chips Deluxe Chocolate Chip Cookies	9.758672292
Keebler Gripz Variety Pack	95.62147989
Keebler Sugar Free Chocolate Cream Cookies	6.013508174
Kellog's Pop Tarts Chocolate Chip Toaster Pastries Master Case	84.60632906
Kellog's Pop Tarts Frosted Chocolate Fudge Toaster Pastries	14.77914899
Kellogg's Fruit & Nut Bars Cranberry Raisin Peanut Grab 'N Go	96.92118937
Kellogg's Nutri-Grain Bars Blueberry	19.24514031
Kellogg's Nutri-Grain Bars Raspberry	35.95681711
KEmerald Nuts Deluxe Mixed Nuts	88.20215742
Emerald Nuts Dry Roasted Almonds	84.41201316
Endangered Species Dolphin Bar Milk Chocolate With Cherries	3.003759196
Endangered Milk Chocolate	48.20800978
Endangered Species Gorilla Bar Milk Chocolate With Pecan Praline	41.20800978
Endangered Species Gorilla Bar Milk Chocolate With Pecan Praline	41.20800978
Endangered Species Gorilla Bar Milk Chocolate With Pecan Praline	41.20800978
Endangered Species Gorilla Bar Milk Chocolate With Pecan Praline	41.20800978
Endangered Species Gorilla Bar Milk Chocolate With Pecan Praline	41.20800978
Endangered Species Gorilla Bar Milk Chocolate With Pecan Praline	41.20800978
Endangered Species Grizzly Bar Dark Chocolate Raspberry	49.32039083
Endangered Species Organic Dark Chocolate Cherry	61.17103609
Endangered Species Organic Dark Chocolate Tangerine	1.919497215
Endangered Species Organic Milk Chocolate Mocha	97.06908543
Endangered Species Panda Bar Dark & White Chocolate Blend	39.42579395
Endangered Species Rainforest Bar Dark Chocolate With Forest Mint	98.81080618
Endangered Species Salmon Bar Smooth Milk Chocolate	85.60970152
Endangered Species Sea Turtle Bar Dark Chocolate With Blueberries	85.58722283
Enfagrow Infant Formula Gentlease Powder	82.44739056
Enfagrow Infant Formula Milk-Based With Iron	76.79575474
Enfagrow Infant Formula Vanilla Powder	18.45832697
Enfagrow Toddler Formula Milk-Based Powder Vanilla	11.57984356
Enfamil A.R. Lipil Powder	48.86962918
Enfamil Formula for Toddlers & Infants Soy-Based Powder	10.87281107
Enfamil Infant Formula Hypoallergenic Concentrated Liquid	81.97585343
Enfamil Infant Formula Lipil Milk Based Powder	59.31275482
Enfamil Infant Formula Milk Based Powder	9.246546844
Enfamil Infant Formula Milk Based Powder	18.443
Enfamil Infant Formula Milk 	53.58291033
Enfamil Infant Formula Milk Based Powder Large Can	95.49423962
Enfamil Infant Formula Milk Based Premium Lipil	85.39266464
Enfamil Infant Formula Next Step Lipil Milk Based Powder	34.93941289
Enfamil Infant Formula Nutramigen Lipil Hypoallergenic	60.94146729
Enfamil Infant Formula Premium Lipil Milk-Based	3.516071639
Enfamil Infant Formula Premium Lipil Milk-Based Powder	69.3428368
Enfamil Infant Formula Soy Powder	0.115845442
Enfamil Infant Formula With Iron Milk Based	38.9165635
Enfamil Infant Formula With Iron Milk Based Powder	53.13540121
Enfamil Infant Formula With Iron Milk Based Powder	6.965922132
Enfamil Next Step Lipil	37.42152498
Enfamil Next Step Lipil Formula Powder Iron Fortified	11.15217145
Enfamil Prosobee Infant Formula Soy For Sensitive Tummy	87.0375974
Enjoy Life Boom Choco Boom Crispy Rice Milk Bar	41.70428516
Enjoy Life Boom Choco Boom Dark Chocolate Bar	20.64733563
Enjoy Life Boom Choco Boom Rice Milk Bar	74.85820624
Enjoy Life Caramel Apple Snack Bar	53.45974531
Enjoy Life Caramel Apple Snack Bars	66.99438896
Enjoy Life Cocoa Loco Snack Bar	95.66044768
Kasugai Kiwi And Pineapple Gummy Candies	56.90481976
Kasugai Kiwi And Strawberry Gummy Candies	0.073039976
